CompanyName,YearMonth,MonthlyRevenue,MonthlyOrders
"Wolski  Zajazd",2012-10,16321.71,1
"Franchi S.p.A.",2012-10,15476.22,1
"Drachenblut Delikatessen",2012-10,14397.53,1
"Chop-suey Chinese",2012-10,13337.57,1
"Consolidated Holdings",2012-10,12605.95,2
LINO-Delicateses,2012-10,10374.36,1
"Queen Cozinha",2012-10,10072.4,1
"Romero y tomillo",2012-10,8298.2,1
"Island Trading",2012-10,7910.6,1
"Cactus Comidas para llevar",2012-10,5608.75,1
HILARION-Abastos,2012-10,556.12,1
"Rancho grande",2012-11,140449.37,3
"Die Wandernde Kuh",2012-11,136661.12,3
"Richter Supermarkt",2012-11,104639.4,3
"Blauer See Delikatessen",2012-11,101208.89,4
"Queen Cozinha",2012-11,99270.57,2
"Magazzini Alimentari Riuniti",2012-11,91051.33,3
"FISSA Fabrica Inter. Salchichas S.A.",2012-11,88139.95,3
"Lehmanns Marktstand",2012-11,84281.17,2
"Godos Cocina Típica",2012-11,81447.39,2
"Princesa Isabel Vinhos",2012-11,79862.64,2
"Seven Seas Imports",2012-11,79547.71,2
"The Big Cheese",2012-11,76348.17,2
"Hanari Carnes",2012-11,71324.18,3
"Eastern Connection",2012-11,66033.19,2
"Cactus Comidas para llevar",2012-11,65680.38,3
"Morgenstern Gesundkost",2012-11,65296.21,2
"Old World Delicatessen",2012-11,61726.68,3
"Gourmet Lanchonetes",2012-11,60801.1,2
"Spécialités du monde",2012-11,59445.28,2
"Save-a-lot Markets",2012-11,56925.53,2
"Bon app'",2012-11,55225.24,1
"La corne d'abondance",2012-11,54112.67,1
Vaffeljernet,2012-11,53966.86,3
QUICK-Stop,2012-11,53809.57,2
North/South,2012-11,52750.56,2
"Du monde entier",2012-11,52568.31,1
"Bottom-Dollar Markets",2012-11,51930.54,1
"France restauration",2012-11,51023.6,1
"Maison Dewey",2012-11,50798.11,1
"Mère Paillarde",2012-11,49642.96,1
"Que Delícia",2012-11,48764.6,2
"Folk och fä HB",2012-11,47872.75,1
"Wartian Herkku",2012-11,46157.8,1
"Bólido Comidas preparadas",2012-11,46107.46,1
"Simons bistro",2012-11,45979.4,1
"Ottilies Käseladen",2012-11,43855.57,2
"Rattlesnake Canyon Grocery",2012-11,43575.85,2
"Laughing Bacchus Wine Cellars",2012-11,38708.33,1
Frankenversand,2012-11,37877.39,2
"Comércio Mineiro",2012-11,33471.4,1
HILARION-Abastos,2012-11,31871.03,2
"Berglunds snabbköp",2012-11,29773.43,1
"Piccolo und mehr",2012-11,26986.89,1
"Chop-suey Chinese",2012-11,26779.44,2
"White Clover Markets",2012-11,23663.51,1
"Franchi S.p.A.",2012-11,22122.21,1
"Blondesddsl père et fils",2012-11,20744.33,1
"Hungry Coyote Import Store",2012-11,20672.14,1
"Island Trading",2012-11,18599.21,1
IT,2012-11,17521.22,1
"Hungry Owl All-Night Grocers",2012-11,17398.95,1
"Trail's Head Gourmet Provisioners",2012-11,15058.61,1
"Galería del gastrónomo",2012-11,14242.86,1
"Victuailles en stock",2012-11,11830.03,1
"Ricardo Adocicados",2012-11,10965.2,1
"Océano Atlántico Ltda.",2012-11,10361.9,1
"Drachenblut Delikatessen",2012-11,10336.9,1
LINO-Delicateses,2012-11,9476.85,1
"Wilman Kala",2012-11,8720.35,1
"Paris spécialités",2012-11,2647.35,1
"Wellington Importadora",2012-11,945.45,1
"Great Lakes Food Market",2012-11,879.15,1
"Consolidated Holdings",2012-11,338.0,1
"Let's Stop N Shop",2012-11,122.5,1
"Romero y tomillo",2012-11,98.0,1
"La corne d'abondance",2012-12,160744.23,4
"Toms Spezialitäten",2012-12,124182.24,4
"Morgenstern Gesundkost",2012-12,117737.16,5
GROSELLA-Restaurante,2012-12,111774.07,2
"Comércio Mineiro",2012-12,109943.4,2
North/South,2012-12,100476.88,5
"Königlich Essen",2012-12,99602.47,3
"Richter Supermarkt",2012-12,97310.32,2
"Gourmet Lanchonetes",2012-12,95843.22,3
LILA-Supermercado,2012-12,93998.62,3
"Que Delícia",2012-12,93499.05,2
"Vins et alcools Chevalier",2012-12,90501.45,4
"B's Beverages",2012-12,87676.77,2
HILARION-Abastos,2012-12,81419.15,4
"Ana Trujillo Emparedados y helados",2012-12,79201.55,2
"Tradição Hipermercados",2012-12,77659.28,2
"Magazzini Alimentari Riuniti",2012-12,76141.28,2
"Paris spécialités",2012-12,74820.33,2
"White Clover Markets",2012-12,73771.08,3
"Old World Delicatessen",2012-12,73083.98,2
"Godos Cocina Típica",2012-12,67576.33,2
"La maison d'Asie",2012-12,66173.81,4
"Wolski  Zajazd",2012-12,65415.68,2
"Mère Paillarde",2012-12,65409.68,3
"Bottom-Dollar Markets",2012-12,63207.42,2
"Princesa Isabel Vinhos",2012-12,62009.11,3
"Queen Cozinha",2012-12,62006.73,2
"Ricardo Adocicados",2012-12,61527.42,2
"Victuailles en stock",2012-12,56763.88,1
"Let's Stop N Shop",2012-12,54693.99,1
"Around the Horn",2012-12,54080.81,2
"Hungry Coyote Import Store",2012-12,53293.8,1
"Wellington Importadora",2012-12,53176.94,1
"Cactus Comidas para llevar",2012-12,52397.44,2
"Split Rail Beer & Ale",2012-12,50576.18,1
IT,2012-12,46392.9,3
"Alfreds Futterkiste",2012-12,44209.7,2
"Franchi S.p.A.",2012-12,42375.15,1
"FISSA Fabrica Inter. Salchichas S.A.",2012-12,41663.17,1
"Ernst Handel",2012-12,39882.85,1
"Drachenblut Delikatessen",2012-12,38835.95,3
"Eastern Connection",2012-12,38741.84,2
"Piccolo und mehr",2012-12,38110.68,1
"Chop-suey Chinese",2012-12,36459.33,2
"Folies gourmandes",2012-12,36018.71,1
"Furia Bacalhau e Frutos do Mar",2012-12,34928.54,1
"Hanari Carnes",2012-12,32952.15,1
"The Cracker Box",2012-12,29574.89,1
"Rattlesnake Canyon Grocery",2012-12,29292.47,2
"Lazy K Kountry Store",2012-12,28698.07,1
"Centro comercial Moctezuma",2012-12,27319.74,1
"Simons bistro",2012-12,27102.11,1
"Seven Seas Imports",2012-12,26515.15,2
"Pericles Comidas clásicas",2012-12,23854.63,1
"Reggiani Caseifici",2012-12,17918.85,1
"Romero y tomillo",2012-12,15746.55,1
"Océano Atlántico Ltda.",2012-12,15144.75,1
"Tortuga Restaurante",2012-12,12452.2,1
"Bon app'",2012-12,11510.4,1
"Wartian Herkku",2012-12,9664.7,1
"Trail's Head Gourmet Provisioners",2012-12,6393.0,1
"Bólido Comidas preparadas",2012-12,6001.7,1
QUICK-Stop,2012-12,4658.8,1
"Lonesome Pine Restaurant",2012-12,3702.27,1
"Ottilies Käseladen",2012-12,2975.25,1
"Consolidated Holdings",2012-12,762.0,1
"Great Lakes Food Market",2012-12,382.6,1
"Old World Delicatessen",2013-01,123229.0,3
"Magazzini Alimentari Riuniti",2013-01,121954.08,4
"Folies gourmandes",2013-01,112295.13,3
"The Big Cheese",2013-01,108081.99,2
Frankenversand,2013-01,107743.41,3
"Ana Trujillo Emparedados y helados",2013-01,92174.18,3
"Rancho grande",2013-01,86447.69,3
"Mère Paillarde",2013-01,86373.6,3
"Ottilies Käseladen",2013-01,75977.58,3
"Alfreds Futterkiste",2013-01,73990.68,2
IT,2013-01,73844.05,3
"Toms Spezialitäten",2013-01,73418.75,3
"Lazy K Kountry Store",2013-01,71037.89,2
"Berglunds snabbköp",2013-01,69042.29,2
"Consolidated Holdings",2013-01,66826.25,2
"Morgenstern Gesundkost",2013-01,65480.83,2
"Ernst Handel",2013-01,64636.01,2
"Antonio Moreno Taquería",2013-01,63920.6,3
"France restauration",2013-01,63611.1,1
LILA-Supermercado,2013-01,63279.32,2
"Reggiani Caseifici",2013-01,62977.94,2
"Laughing Bacchus Wine Cellars",2013-01,59107.87,2
QUICK-Stop,2013-01,57953.46,1
"Godos Cocina Típica",2013-01,57681.67,1
"Rattlesnake Canyon Grocery",2013-01,57168.06,1
"Bon app'",2013-01,56649.19,2
"Wilman Kala",2013-01,56597.19,2
"Furia Bacalhau e Frutos do Mar",2013-01,56352.33,2
"Ricardo Adocicados",2013-01,55327.37,2
"Maison Dewey",2013-01,53690.95,1
"Trail's Head Gourmet Provisioners",2013-01,51479.78,2
"Chop-suey Chinese",2013-01,49629.36,2
"La maison d'Asie",2013-01,49583.45,1
"Wolski  Zajazd",2013-01,48829.05,2
"Que Delícia",2013-01,45642.24,1
"Simons bistro",2013-01,42572.98,2
"Queen Cozinha",2013-01,41368.2,1
"Océano Atlántico Ltda.",2013-01,40778.94,3
"White Clover Markets",2013-01,39923.34,2
"Wellington Importadora",2013-01,39715.01,2
North/South,2013-01,38878.1,1
"Let's Stop N Shop",2013-01,35945.62,3
"Centro comercial Moctezuma",2013-01,30706.85,1
"Princesa Isabel Vinhos",2013-01,30536.92,1
"Victuailles en stock",2013-01,30487.82,1
LINO-Delicateses,2013-01,24940.56,1
"Great Lakes Food Market",2013-01,23477.31,2
"Lonesome Pine Restaurant",2013-01,22260.76,1
"Paris spécialités",2013-01,19907.65,1
"Drachenblut Delikatessen",2013-01,19097.56,1
"Blauer See Delikatessen",2013-01,18433.25,1
"Königlich Essen",2013-01,17571.65,1
"Die Wandernde Kuh",2013-01,16170.12,1
"La corne d'abondance",2013-01,11723.56,1
"Hungry Owl All-Night Grocers",2013-01,10315.85,1
"Tradição Hipermercados",2013-01,8709.25,2
"Blondesddsl père et fils",2013-01,6445.85,1
"Gourmet Lanchonetes",2013-01,6436.65,1
Vaffeljernet,2013-01,5067.14,1
"Split Rail Beer & Ale",2013-01,3826.95,1
"Hanari Carnes",2013-01,3608.86,1
"Familia Arquibaldo",2013-01,2811.0,1
"Romero y tomillo",2013-01,1360.2,1
"Tortuga Restaurante",2013-01,306.0,1
"Franchi S.p.A.",2013-02,138141.77,3
"Hungry Coyote Import Store",2013-02,116323.55,4
"Lazy K Kountry Store",2013-02,111040.13,3
"Lehmanns Marktstand",2013-02,101314.8,2
"Tortuga Restaurante",2013-02,98078.05,5
"Santé Gourmet",2013-02,97621.48,2
"Split Rail Beer & Ale",2013-02,93924.84,2
"Queen Cozinha",2013-02,84823.17,3
"Suprêmes délices",2013-02,84723.27,3
"B's Beverages",2013-02,73241.31,2
"Great Lakes Food Market",2013-02,70855.87,3
"Centro comercial Moctezuma",2013-02,68229.07,2
HILARION-Abastos,2013-02,67888.63,2
"Du monde entier",2013-02,67769.9,2
"Galería del gastrónomo",2013-02,65662.99,2
"Maison Dewey",2013-02,64949.67,2
IT,2013-02,64474.17,2
"Reggiani Caseifici",2013-02,63526.53,2
"Wellington Importadora",2013-02,63520.86,2
"Ana Trujillo Emparedados y helados",2013-02,61013.34,1
"Rancho grande",2013-02,58892.63,2
"FISSA Fabrica Inter. Salchichas S.A.",2013-02,58873.61,2
"Folies gourmandes",2013-02,57826.68,1
"Romero y tomillo",2013-02,56096.18,2
"Consolidated Holdings",2013-02,55780.98,1
LINO-Delicateses,2013-02,54696.96,1
"Old World Delicatessen",2013-02,51260.66,2
"Blauer See Delikatessen",2013-02,50200.37,2
"Simons bistro",2013-02,48530.66,1
"Que Delícia",2013-02,46251.42,1
"Drachenblut Delikatessen",2013-02,45602.91,1
"Laughing Bacchus Wine Cellars",2013-02,44937.68,1
"Océano Atlántico Ltda.",2013-02,44626.18,1
QUICK-Stop,2013-02,42705.22,1
Vaffeljernet,2013-02,42597.53,2
"Morgenstern Gesundkost",2013-02,41913.91,2
"Ernst Handel",2013-02,41014.29,2
"Mère Paillarde",2013-02,38125.99,1
"Comércio Mineiro",2013-02,36497.5,2
"Seven Seas Imports",2013-02,35947.0,1
"Let's Stop N Shop",2013-02,31933.35,1
"Berglunds snabbköp",2013-02,28320.0,1
"Victuailles en stock",2013-02,27823.07,1
"Wolski  Zajazd",2013-02,27181.21,1
"Chop-suey Chinese",2013-02,25144.38,1
"Ricardo Adocicados",2013-02,24984.1,1
"Gourmet Lanchonetes",2013-02,22277.48,1
"Cactus Comidas para llevar",2013-02,21277.19,1
"Piccolo und mehr",2013-02,20871.05,1
"White Clover Markets",2013-02,19382.48,2
"Hanari Carnes",2013-02,19129.04,1
"Bon app'",2013-02,18544.2,2
"Trail's Head Gourmet Provisioners",2013-02,17021.81,1
"Eastern Connection",2013-02,13466.55,1
North/South,2013-02,11981.4,1
"Princesa Isabel Vinhos",2013-02,9074.8,1
"Magazzini Alimentari Riuniti",2013-02,4954.5,1
"Blondesddsl père et fils",2013-02,4889.0,1
"Alfreds Futterkiste",2013-02,4378.89,1
"Die Wandernde Kuh",2013-02,2056.6,1
"Eastern Connection",2013-03,197284.88,4
"Split Rail Beer & Ale",2013-03,182920.92,5
"France restauration",2013-03,167474.22,5
"Bottom-Dollar Markets",2013-03,163455.71,4
"Queen Cozinha",2013-03,148204.72,3
GROSELLA-Restaurante,2013-03,135985.69,5
"Lazy K Kountry Store",2013-03,110220.28,2
"B's Beverages",2013-03,109462.06,4
"Berglunds snabbköp",2013-03,108881.56,3
"Victuailles en stock",2013-03,108139.39,3
"Folies gourmandes",2013-03,106190.57,4
"Santé Gourmet",2013-03,99168.85,3
"Rattlesnake Canyon Grocery",2013-03,90518.08,3
"Königlich Essen",2013-03,88183.4,2
"Piccolo und mehr",2013-03,83949.31,2
IT,2013-03,75923.84,2
"Antonio Moreno Taquería",2013-03,73575.43,2
"Folk och fä HB",2013-03,63554.09,2
"Bólido Comidas preparadas",2013-03,62446.55,1
"Blauer See Delikatessen",2013-03,58893.54,3
"Ottilies Käseladen",2013-03,56943.41,1
"Cactus Comidas para llevar",2013-03,56734.5,2
"Spécialités du monde",2013-03,56021.82,3
"Wilman Kala",2013-03,53300.25,1
LILA-Supermercado,2013-03,48812.17,2
"Die Wandernde Kuh",2013-03,48373.55,2
"Magazzini Alimentari Riuniti",2013-03,47991.19,1
"Ernst Handel",2013-03,47626.07,2
"Bon app'",2013-03,47453.25,2
"Drachenblut Delikatessen",2013-03,46636.92,1
"Blondesddsl père et fils",2013-03,46551.05,2
"Hungry Owl All-Night Grocers",2013-03,46435.27,1
"Great Lakes Food Market",2013-03,45128.22,2
"Suprêmes délices",2013-03,44132.94,2
North/South,2013-03,44064.63,1
"White Clover Markets",2013-03,42544.59,2
"Seven Seas Imports",2013-03,39709.37,1
"Wartian Herkku",2013-03,37934.23,1
"La maison d'Asie",2013-03,37190.85,2
"Princesa Isabel Vinhos",2013-03,32609.63,1
"Save-a-lot Markets",2013-03,30109.43,2
"Hanari Carnes",2013-03,30070.18,1
"Comércio Mineiro",2013-03,24329.3,2
"Furia Bacalhau e Frutos do Mar",2013-03,23968.1,1
"Morgenstern Gesundkost",2013-03,23321.47,1
"Maison Dewey",2013-03,22364.89,1
"Lonesome Pine Restaurant",2013-03,17777.54,1
"Godos Cocina Típica",2013-03,15863.23,2
"The Cracker Box",2013-03,14737.05,1
"Richter Supermarkt",2013-03,13652.45,1
"Ana Trujillo Emparedados y helados",2013-03,12108.98,1
QUICK-Stop,2013-03,11848.41,1
HILARION-Abastos,2013-03,10563.25,1
"Around the Horn",2013-03,10477.8,1
"Island Trading",2013-03,10425.27,1
"Familia Arquibaldo",2013-03,10396.35,1
"Alfreds Futterkiste",2013-03,6718.16,1
"Hungry Coyote Import Store",2013-03,5882.35,1
"Wellington Importadora",2013-03,5363.35,1
"La corne d'abondance",2013-03,5298.0,1
"Toms Spezialitäten",2013-03,2698.8,1
"Laughing Bacchus Wine Cellars",2013-03,2615.85,1
"Wolski  Zajazd",2013-03,144.0,1
"La corne d'abondance",2013-04,136555.25,4
"Pericles Comidas clásicas",2013-04,123745.23,4
"Ernst Handel",2013-04,116555.42,3
"Folk och fä HB",2013-04,110750.1,3
"Let's Stop N Shop",2013-04,105539.82,4
"Trail's Head Gourmet Provisioners",2013-04,94813.02,2
IT,2013-04,94674.33,3
"Ana Trujillo Emparedados y helados",2013-04,91875.53,4
"Franchi S.p.A.",2013-04,83525.46,4
"Rancho grande",2013-04,82799.98,4
"Split Rail Beer & Ale",2013-04,78544.9,2
"Great Lakes Food Market",2013-04,72589.61,3
"Centro comercial Moctezuma",2013-04,69743.35,2
"B's Beverages",2013-04,69684.42,2
"Folies gourmandes",2013-04,69584.66,3
"Save-a-lot Markets",2013-04,68791.53,2
LILA-Supermercado,2013-04,66591.88,2
"Lonesome Pine Restaurant",2013-04,66471.7,2
"Piccolo und mehr",2013-04,65931.94,2
North/South,2013-04,63882.57,2
"The Big Cheese",2013-04,63349.41,2
