YearMonth,Supplier,Revenue,NumberOfSales
2012-10,"Grandma Kelly's Homestead",138645.0,83
2012-10,"Heli Süßwaren GmbH & Co. KG",122454.25,87
2012-10,"Karkki Oy",80640.0,89
2012-10,"Leka Trading",119757.15,82
2012-10,Lyngbysild,29369.0,79
2012-10,"Ma Maison",47686.0,77
2012-10,"Mayumi's",66282.5,86
2012-10,"New England Seafood Cannery",43127.5,76
2012-10,"New Orleans Cajun Delights",120309.1,94
2012-10,"Nord-Ost-Fisch Handelsgesellschaft mbH",39689.37,62
2012-10,"Norske Meierier",103255.0,87
2012-10,"PB Knäckebröd AB",51570.0,85
2012-10,"Pasta Buttini s.r.l.",93609.5,77
2012-10,"Pavlova, Ltd.",262887.1,93
2012-10,"Plutzer Lebensmittelgroßmärkte AG",277118.19,92
2012-10,"Refrescos Americanas LTDA",7771.5,60
2012-10,"Specialty Biscuits, Ltd.",154006.7,87
2012-10,"Svensk Sjöföda AB",86092.0,86
2012-10,"Tokyo Traders",199806.0,85
2012-10,"Zaanse Snoepfabriek",34527.0,79
2012-11,"Aux joyeux ecclésiastiques",387100.0,66
2012-11,"Bigfoot Breweries",57340.0,77
2012-11,"Cooperativa de Quesos 'Las Cabras'",77983.0,70
2012-11,"Escargots Nouveaux",17967.0,51
2012-11,"Exotic Liquids",62842.0,74
2012-11,"Formaggi Fortini s.r.l.",92882.1,74
2012-11,"Forêts d'érables",100337.5,70
2012-11,"G'day, Mate",135338.6,80
2012-11,"Gai pâturage",116577.0,73
2012-11,"Grandma Kelly's Homestead",111385.0,76
2012-11,"Heli Süßwaren GmbH & Co. KG",135956.64,80
2012-11,"Karkki Oy",72726.5,80
2012-11,"Leka Trading",110631.9,81
2012-11,Lyngbysild,28210.0,68
2012-11,"Ma Maison",46575.15,71
2012-11,"Mayumi's",52012.75,73
2012-11,"New England Seafood Cannery",42825.9,71
2012-11,"New Orleans Cajun Delights",100367.6,77
2012-11,"Nord-Ost-Fisch Handelsgesellschaft mbH",34692.6,52
2012-11,"Norske Meierier",83523.0,80
2012-11,"PB Knäckebröd AB",38886.0,71
2012-11,"Pasta Buttini s.r.l.",85743.5,74
2012-11,"Pavlova, Ltd.",220168.45,83
2012-11,"Plutzer Lebensmittelgroßmärkte AG",309438.55,85
2012-11,"Refrescos Americanas LTDA",6039.0,47
2012-11,"Specialty Biscuits, Ltd.",156389.0,87
2012-11,"Svensk Sjöföda AB",75778.0,79
2012-11,"Tokyo Traders",192156.0,76
2012-11,"Zaanse Snoepfabriek",28622.0,73
2012-12,"Aux joyeux ecclésiastiques",421947.0,85
2012-12,"Bigfoot Breweries",73254.0,96
2012-12,"Cooperativa de Quesos 'Las Cabras'",98617.0,84
2012-12,"Escargots Nouveaux",20206.25,57
2012-12,"Exotic Liquids",82026.0,94
2012-12,"Formaggi Fortini s.r.l.",136028.1,100
2012-12,"Forêts d'érables",126129.2,80
2012-12,"G'day, Mate",159451.0,100
2012-12,"Gai pâturage",147676.0,84
2012-12,"Grandma Kelly's Homestead",157680.0,94
2012-12,"Heli Süßwaren GmbH & Co. KG",128619.1,88
2012-12,"Karkki Oy",89648.25,97
2012-12,"Leka Trading",131518.8,94
2012-12,Lyngbysild,33545.0,76
2012-12,"Ma Maison",55676.95,83
2012-12,"Mayumi's",68174.5,96
2012-12,"New England Seafood Cannery",44339.6,89
2012-12,"New Orleans Cajun Delights",129694.15,97
2012-12,"Nord-Ost-Fisch Handelsgesellschaft mbH",34537.26,54
2012-12,"Norske Meierier",97030.0,97
2012-12,"PB Knäckebröd AB",49533.0,82
2012-12,"Pasta Buttini s.r.l.",85295.0,85
2012-12,"Pavlova, Ltd.",311046.0,109
2012-12,"Plutzer Lebensmittelgroßmärkte AG",358263.74,103
2012-12,"Refrescos Americanas LTDA",7128.0,65
2012-12,"Specialty Biscuits, Ltd.",181349.7,99
2012-12,"Svensk Sjöföda AB",101715.0,104
2012-12,"Tokyo Traders",215444.0,91
2012-12,"Zaanse Snoepfabriek",32364.25,76
2013-01,"Aux joyeux ecclésiastiques",421075.0,75
2013-01,"Bigfoot Breweries",66156.0,82
2013-01,"Cooperativa de Quesos 'Las Cabras'",86323.0,73
2013-01,"Escargots Nouveaux",19345.0,61
2013-01,"Exotic Liquids",65626.0,83
2013-01,"Formaggi Fortini s.r.l.",115188.9,85
2013-01,"Forêts d'érables",115700.8,77
2013-01,"G'day, Mate",110343.4,80
2013-01,"Gai pâturage",117363.0,69
2013-01,"Grandma Kelly's Homestead",125745.0,82
2013-01,"Heli Süßwaren GmbH & Co. KG",126468.67,83
2013-01,"Karkki Oy",69007.75,78
2013-01,"Leka Trading",126933.1,86
2013-01,Lyngbysild,25598.5,63
2013-01,"Ma Maison",40341.55,76
2013-01,"Mayumi's",65697.75,83
2013-01,"New England Seafood Cannery",42378.8,77
2013-01,"New Orleans Cajun Delights",102912.6,82
2013-01,"Nord-Ost-Fisch Handelsgesellschaft mbH",41242.77,62
2013-01,"Norske Meierier",75613.5,83
2013-01,"PB Knäckebröd AB",44436.0,75
2013-01,"Pasta Buttini s.r.l.",67341.5,70
2013-01,"Pavlova, Ltd.",237683.7,85
2013-01,"Plutzer Lebensmittelgroßmärkte AG",317802.35,86
2013-01,"Refrescos Americanas LTDA",6462.0,52
2013-01,"Specialty Biscuits, Ltd.",145407.4,91
2013-01,"Svensk Sjöföda AB",87003.0,87
2013-01,"Tokyo Traders",180897.0,86
2013-01,"Zaanse Snoepfabriek",29324.25,74
2013-02,"Aux joyeux ecclésiastiques",352158.0,69
2013-02,"Bigfoot Breweries",58590.0,75
2013-02,"Cooperativa de Quesos 'Las Cabras'",80124.0,73
2013-02,"Escargots Nouveaux",14614.75,45
2013-02,"Exotic Liquids",58269.0,76
2013-02,"Formaggi Fortini s.r.l.",110542.4,81
2013-02,"Forêts d'érables",103684.2,67
2013-02,"G'day, Mate",122980.2,81
2013-02,"Gai pâturage",130533.0,75
2013-02,"Grandma Kelly's Homestead",124980.0,77
2013-02,"Heli Süßwaren GmbH & Co. KG",125947.59,79
2013-02,"Karkki Oy",75899.5,81
2013-02,"Leka Trading",105355.05,75
2013-02,Lyngbysild,27186.5,68
2013-02,"Ma Maison",44697.85,74
2013-02,"Mayumi's",60069.75,75
2013-02,"New England Seafood Cannery",38314.25,69
2013-02,"New Orleans Cajun Delights",110412.3,81
2013-02,"Nord-Ost-Fisch Handelsgesellschaft mbH",32077.71,47
2013-02,"Norske Meierier",78978.5,80
2013-02,"PB Knäckebröd AB",38610.0,72
2013-02,"Pasta Buttini s.r.l.",80332.0,74
2013-02,"Pavlova, Ltd.",240727.65,85
2013-02,"Plutzer Lebensmittelgroßmärkte AG",284796.21,90
2013-02,"Refrescos Americanas LTDA",5553.0,50
2013-02,"Specialty Biscuits, Ltd.",169625.7,86
2013-02,"Svensk Sjöföda AB",84288.0,77
2013-02,"Tokyo Traders",171200.0,75
2013-02,"Zaanse Snoepfabriek",33645.75,72
2013-03,"Aux joyeux ecclésiastiques",458623.5,86
2013-03,"Bigfoot Breweries",76614.0,95
2013-03,"Cooperativa de Quesos 'Las Cabras'",91633.0,84
2013-03,"Escargots Nouveaux",18457.25,64
2013-03,"Exotic Liquids",70824.0,88
2013-03,"Formaggi Fortini s.r.l.",125841.9,88
2013-03,"Forêts d'érables",114590.0,84
2013-03,"G'day, Mate",145658.8,82
2013-03,"Gai pâturage",143942.0,80
2013-03,"Grandma Kelly's Homestead",129840.0,95
2013-03,"Heli Süßwaren GmbH & Co. KG",129303.45,88
2013-03,"Karkki Oy",87770.25,93
2013-03,"Leka Trading",120230.75,82
2013-03,Lyngbysild,31573.0,83
2013-03,"Ma Maison",58425.65,84
2013-03,"Mayumi's",63649.25,91
2013-03,"New England Seafood Cannery",44497.05,78
2013-03,"New Orleans Cajun Delights",121803.95,93
2013-03,"Nord-Ost-Fisch Handelsgesellschaft mbH",48466.08,69
2013-03,"Norske Meierier",97975.0,93
2013-03,"PB Knäckebröd AB",48930.0,82
2013-03,"Pasta Buttini s.r.l.",103019.0,87
2013-03,"Pavlova, Ltd.",302891.15,105
2013-03,"Plutzer Lebensmittelgroßmärkte AG",317551.33,92
2013-03,"Refrescos Americanas LTDA",5832.0,53
2013-03,"Specialty Biscuits, Ltd.",165082.6,97
2013-03,"Svensk Sjöföda AB",98121.0,88
2013-03,"Tokyo Traders",217013.0,96
2013-03,"Zaanse Snoepfabriek",33202.25,81
2013-04,"Aux joyeux ecclésiastiques",418483.0,76
2013-04,"Bigfoot Breweries",66472.0,91
2013-04,"Cooperativa de Quesos 'Las Cabras'",71647.0,71
2013-04,"Escargots Nouveaux",17622.5,53
2013-04,"Exotic Liquids",73452.0,97
2013-04,"Formaggi Fortini s.r.l.",136588.7,91
2013-04,"Forêts d'érables",112215.3,82
2013-04,"G'day, Mate",138137.0,91
2013-04,"Gai pâturage",140487.0,85
2013-04,"Grandma Kelly's Homestead",129580.0,91
2013-04,"Heli Süßwaren GmbH & Co. KG",138176.87,97
2013-04,"Karkki Oy",85198.0,97
2013-04,"Leka Trading",100505.55,85
2013-04,Lyngbysild,29399.5,76
2013-04,"Ma Maison",42418.55,77
2013-04,"Mayumi's",56226.5,81
2013-04,"New England Seafood Cannery",47639.2,82
2013-04,"New Orleans Cajun Delights",128116.15,98
2013-04,"Nord-Ost-Fisch Handelsgesellschaft mbH",32466.06,46
2013-04,"Norske Meierier",94603.5,92
2013-04,"PB Knäckebröd AB",43272.0,84
2013-04,"Pasta Buttini s.r.l.",97006.5,86
2013-04,"Pavlova, Ltd.",253758.6,105
2013-04,"Plutzer Lebensmittelgroßmärkte AG",317108.34,102
2013-04,"Refrescos Americanas LTDA",6358.5,54
2013-04,"Specialty Biscuits, Ltd.",157169.7,98
2013-04,"Svensk Sjöföda AB",82986.0,92
2013-04,"Tokyo Traders",212410.0,93
2013-04,"Zaanse Snoepfabriek",33389.5,75
2013-05,"Aux joyeux ecclésiastiques",444178.0,83
2013-05,"Bigfoot Breweries",80852.0,96
2013-05,"Cooperativa de Quesos 'Las Cabras'",88341.0,84
2013-05,"Escargots Nouveaux",22432.25,67
2013-05,"Exotic Liquids",80932.0,95
2013-05,"Formaggi Fortini s.r.l.",130347.4,98
2013-05,"Forêts d'érables",129091.9,81
2013-05,"G'day, Mate",170379.4,99
2013-05,"Gai pâturage",145182.0,79
2013-05,"Grandma Kelly's Homestead",166330.0,92
2013-05,"Heli Süßwaren GmbH & Co. KG",135835.84,85
2013-05,"Karkki Oy",85782.75,98
2013-05,"Leka Trading",124160.7,90
2013-05,Lyngbysild,35042.5,84
2013-05,"Ma Maison",44788.25,76
2013-05,"Mayumi's",71317.75,93
2013-05,"New England Seafood Cannery",42900.2,79
2013-05,"New Orleans Cajun Delights",129980.8,100
2013-05,"Nord-Ost-Fisch Handelsgesellschaft mbH",45825.3,65
2013-05,"Norske Meierier",92054.5,94
2013-05,"PB Knäckebröd AB",49125.0,80
2013-05,"Pasta Buttini s.r.l.",89039.5,87
2013-05,"Pavlova, Ltd.",279255.3,106
2013-05,"Plutzer Lebensmittelgroßmärkte AG",360666.97,101
2013-05,"Refrescos Americanas LTDA",6439.5,61
2013-05,"Specialty Biscuits, Ltd.",202110.2,98
2013-05,"Svensk Sjöföda AB",88675.0,93
2013-05,"Tokyo Traders",214475.0,94
2013-05,"Zaanse Snoepfabriek",37987.0,83
2013-06,"Aux joyeux ecclésiastiques",372124.0,65
2013-06,"Bigfoot Breweries",59582.0,74
2013-06,"Cooperativa de Quesos 'Las Cabras'",79068.0,72
2013-06,"Escargots Nouveaux",15780.75,49
2013-06,"Exotic Liquids",66775.0,78
2013-06,"Formaggi Fortini s.r.l.",101137.9,79
2013-06,"Forêts d'érables",97953.9,69
2013-06,"G'day, Mate",127868.6,75
2013-06,"Gai pâturage",122377.0,75
2013-06,"Grandma Kelly's Homestead",143810.0,82
2013-06,"Heli Süßwaren GmbH & Co. KG",120236.86,73
2013-06,"Karkki Oy",67865.25,80
2013-06,"Leka Trading",114447.8,83
2013-06,Lyngbysild,28763.0,68
2013-06,"Ma Maison",41263.1,65
2013-06,"Mayumi's",61025.0,81
2013-06,"New England Seafood Cannery",34073.7,62
2013-06,"New Orleans Cajun Delights",111306.65,82
2013-06,"Nord-Ost-Fisch Handelsgesellschaft mbH",37229.82,53
2013-06,"Norske Meierier",85274.0,80
2013-06,"PB Knäckebröd AB",38607.0,67
2013-06,"Pasta Buttini s.r.l.",75822.0,70
2013-06,"Pavlova, Ltd.",260607.1,89
2013-06,"Plutzer Lebensmittelgroßmärkte AG",262840.71,83
2013-06,"Refrescos Americanas LTDA",5454.0,57
2013-06,"Specialty Biscuits, Ltd.",164132.1,82
2013-06,"Svensk Sjöföda AB",85451.0,83
2013-06,"Tokyo Traders",165426.0,75
2013-06,"Zaanse Snoepfabriek",29882.0,72
2013-07,"Aux joyeux ecclésiastiques",503410.5,93
2013-07,"Bigfoot Breweries",97460.0,113
2013-07,"Cooperativa de Quesos 'Las Cabras'",122406.0,104
2013-07,"Escargots Nouveaux",24353.5,73
2013-07,"Exotic Liquids",74906.0,102
2013-07,"Formaggi Fortini s.r.l.",151045.7,113
2013-07,"Forêts d'érables",149269.8,100
2013-07,"G'day, Mate",187436.8,113
2013-07,"Gai pâturage",181219.0,100
2013-07,"Grandma Kelly's Homestead",203670.0,110
2013-07,"Heli Süßwaren GmbH & Co. KG",167178.53,106
2013-07,"Karkki Oy",113978.0,109
2013-07,"Leka Trading",143651.2,106
2013-07,Lyngbysild,49137.0,103
2013-07,"Ma Maison",59373.0,95
2013-07,"Mayumi's",88393.5,111
2013-07,"New England Seafood Cannery",45123.45,91
2013-07,"New Orleans Cajun Delights",151987.9,117
2013-07,"Nord-Ost-Fisch Handelsgesellschaft mbH",40569.63,70
2013-07,"Norske Meierier",112107.0,106
2013-07,"PB Knäckebröd AB",62985.0,102
2013-07,"Pasta Buttini s.r.l.",103151.0,96
2013-07,"Pavlova, Ltd.",323426.95,119
2013-07,"Plutzer Lebensmittelgroßmärkte AG",446999.22,125
2013-07,"Refrescos Americanas LTDA",9130.5,78
2013-07,"Specialty Biscuits, Ltd.",207024.0,118
2013-07,"Svensk Sjöföda AB",117097.0,107
2013-07,"Tokyo Traders",298020.0,112
2013-07,"Zaanse Snoepfabriek",40558.25,98
2013-08,"Aux joyeux ecclésiastiques",389732.5,68
2013-08,"Bigfoot Breweries",54548.0,77
2013-08,"Cooperativa de Quesos 'Las Cabras'",76825.0,69
2013-08,"Escargots Nouveaux",18868.0,51
2013-08,"Exotic Liquids",69656.0,82
2013-08,"Formaggi Fortini s.r.l.",103954.7,83
2013-08,"Forêts d'érables",106108.4,75
2013-08,"G'day, Mate",108107.8,80
2013-08,"Gai pâturage",115098.0,69
2013-08,"Grandma Kelly's Homestead",121625.0,80
2013-08,"Heli Süßwaren GmbH & Co. KG",113720.92,77
2013-08,"Karkki Oy",68606.0,80
2013-08,"Leka Trading",101220.1,82
2013-08,Lyngbysild,36133.5,82
2013-08,"Ma Maison",45843.25,74
2013-08,"Mayumi's",58981.25,80
2013-08,"New England Seafood Cannery",42965.5,71
2013-08,"New Orleans Cajun Delights",109233.0,86
2013-08,"Nord-Ost-Fisch Handelsgesellschaft mbH",36090.66,49
2013-08,"Norske Meierier",78867.5,80
2013-08,"PB Knäckebröd AB",37320.0,72
2013-08,"Pasta Buttini s.r.l.",77667.5,74
2013-08,"Pavlova, Ltd.",255367.35,94
2013-08,"Plutzer Lebensmittelgroßmärkte AG",309365.83,92
2013-08,"Refrescos Americanas LTDA",6120.0,54
2013-08,"Specialty Biscuits, Ltd.",157823.1,90
2013-08,"Svensk Sjöföda AB",76821.0,75
2013-08,"Tokyo Traders",179625.0,86
2013-08,"Zaanse Snoepfabriek",31698.5,67
2013-09,"Aux joyeux ecclésiastiques",297638.0,64
2013-09,"Bigfoot Breweries",57336.0,76
2013-09,"Cooperativa de Quesos 'Las Cabras'",71329.0,68
2013-09,"Escargots Nouveaux",12640.5,41
2013-09,"Exotic Liquids",60158.0,77
2013-09,"Formaggi Fortini s.r.l.",93241.3,71
2013-09,"Forêts d'érables",107362.4,64
2013-09,"G'day, Mate",116232.6,73
2013-09,"Gai pâturage",118562.0,67
2013-09,"Grandma Kelly's Homestead",123855.0,75
2013-09,"Heli Süßwaren GmbH & Co. KG",108812.75,80
2013-09,"Karkki Oy",64259.0,77
2013-09,"Leka Trading",89440.0,74
2013-09,Lyngbysild,27790.5,63
2013-09,"Ma Maison",30365.95,62
2013-09,"Mayumi's",55446.5,76
2013-09,"New England Seafood Cannery",33741.05,67
2013-09,"New Orleans Cajun Delights",93537.45,78
2013-09,"Nord-Ost-Fisch Handelsgesellschaft mbH",22058.28,45
2013-09,"Norske Meierier",72852.0,74
2013-09,"PB Knäckebröd AB",38421.0,71
2013-09,"Pasta Buttini s.r.l.",73473.0,66
2013-09,"Pavlova, Ltd.",208501.2,79
2013-09,"Plutzer Lebensmittelgroßmärkte AG",283769.0,80
2013-09,"Refrescos Americanas LTDA",5341.5,47
2013-09,"Specialty Biscuits, Ltd.",131094.5,76
2013-09,"Svensk Sjöföda AB",74481.0,77
2013-09,"Tokyo Traders",167839.0,73
2013-09,"Zaanse Snoepfabriek",31834.75,72
2013-10,"Aux joyeux ecclésiastiques",425424.0,83
2013-10,"Bigfoot Breweries",65580.0,84
2013-10,"Cooperativa de Quesos 'Las Cabras'",75773.0,71
2013-10,"Escargots Nouveaux",16668.5,50
2013-10,"Exotic Liquids",74592.0,87
2013-10,"Formaggi Fortini s.r.l.",103813.0,78
2013-10,"Forêts d'érables",101233.1,73
2013-10,"G'day, Mate",137198.2,83
2013-10,"Gai pâturage",120457.0,75
2013-10,"Grandma Kelly's Homestead",135485.0,92
2013-10,"Heli Süßwaren GmbH & Co. KG",116496.05,88
2013-10,"Karkki Oy",76769.0,88
2013-10,"Leka Trading",106544.25,85
2013-10,Lyngbysild,25257.5,72
2013-10,"Ma Maison",49313.45,74
2013-10,"Mayumi's",63439.5,81
2013-10,"New England Seafood Cannery",42467.9,74
2013-10,"New Orleans Cajun Delights",118634.5,94
2013-10,"Nord-Ost-Fisch Handelsgesellschaft mbH",34097.13,61
2013-10,"Norske Meierier",86427.5,87
2013-10,"PB Knäckebröd AB",38832.0,69
2013-10,"Pasta Buttini s.r.l.",75088.0,76
2013-10,"Pavlova, Ltd.",268860.9,93
2013-10,"Plutzer Lebensmittelgroßmärkte AG",292837.02,88
2013-10,"Refrescos Americanas LTDA",8572.5,62
2013-10,"Specialty Biscuits, Ltd.",162294.1,91
2013-10,"Svensk Sjöföda AB",72420.0,78
2013-10,"Tokyo Traders",185132.0,78
2013-10,"Zaanse Snoepfabriek",32555.0,72
2013-11,"Aux joyeux ecclésiastiques",292313.5,73
2013-11,"Bigfoot Breweries",67676.0,85
2013-11,"Cooperativa de Quesos 'Las Cabras'",84506.0,70
2013-11,"Escargots Nouveaux",19066.75,55
2013-11,"Exotic Liquids",66472.0,82
2013-11,"Formaggi Fortini s.r.l.",107321.9,77
2013-11,"Forêts d'érables",104594.1,69
2013-11,"G'day, Mate",123016.8,86
2013-11,"Gai pâturage",130410.0,69
2013-11,"Grandma Kelly's Homestead",134180.0,81
2013-11,"Heli Süßwaren GmbH & Co. KG",130550.5,83
2013-11,"Karkki Oy",73237.0,72
2013-11,"Leka Trading",106237.45,78
2013-11,Lyngbysild,30540.0,76
2013-11,"Ma Maison",43992.2,68
2013-11,"Mayumi's",59533.75,78
2013-11,"New England Seafood Cannery",40098.0,73
2013-11,"New Orleans Cajun Delights",105113.2,80
2013-11,"Nord-Ost-Fisch Handelsgesellschaft mbH",34071.24,54
2013-11,"Norske Meierier",83854.0,79
2013-11,"PB Knäckebröd AB",45783.0,73
2013-11,"Pasta Buttini s.r.l.",88775.5,74
2013-11,"Pavlova, Ltd.",257131.7,88
2013-11,"Plutzer Lebensmittelgroßmärkte AG",335334.66,85
2013-11,"Refrescos Americanas LTDA",6480.0,58
2013-11,"Specialty Biscuits, Ltd.",173419.8,84
2013-11,"Svensk Sjöföda AB",78852.0,79
2013-11,"Tokyo Traders",188434.0,80
2013-11,"Zaanse Snoepfabriek",31202.0,78
2013-12,"Aux joyeux ecclésiastiques",372545.5,64
2013-12,"Bigfoot Breweries",65248.0,74
2013-12,"Cooperativa de Quesos 'Las Cabras'",90392.0,76
2013-12,"Escargots Nouveaux",15847.0,51
2013-12,"Exotic Liquids",67548.0,76
2013-12,"Formaggi Fortini s.r.l.",120417.9,81
2013-12,"Forêts d'érables",101692.3,70
2013-12,"G'day, Mate",144413.4,79
2013-12,"Gai pâturage",135339.0,79
2013-12,"Grandma Kelly's Homestead",136520.0,74
2013-12,"Heli Süßwaren GmbH & Co. KG",133357.46,77
2013-12,"Karkki Oy",80198.5,80
2013-12,"Leka Trading",112948.35,81
2013-12,Lyngbysild,29213.5,71
2013-12,"Ma Maison",45399.05,69
2013-12,"Mayumi's",63217.25,75
2013-12,"New England Seafood Cannery",38848.95,74
2013-12,"New Orleans Cajun Delights",116472.0,85
2013-12,"Nord-Ost-Fisch Handelsgesellschaft mbH",30653.76,45
2013-12,"Norske Meierier",84444.0,78
2013-12,"PB Knäckebröd AB",37326.0,71
2013-12,"Pasta Buttini s.r.l.",84053.5,76
2013-12,"Pavlova, Ltd.",268388.3,84
2013-12,"Plutzer Lebensmittelgroßmärkte AG",331332.59,89
2013-12,"Refrescos Americanas LTDA",5467.5,53
2013-12,"Specialty Biscuits, Ltd.",165041.4,85
2013-12,"Svensk Sjöföda AB",96836.0,80
2013-12,"Tokyo Traders",192694.0,85
2013-12,"Zaanse Snoepfabriek",34752.5,73
2014-01,"Aux joyeux ecclésiastiques",350882.0,67
2014-01,"Bigfoot Breweries",56946.0,76
2014-01,"Cooperativa de Quesos 'Las Cabras'",61007.0,60
2014-01,"Escargots Nouveaux",12971.75,40
2014-01,"Exotic Liquids",57863.0,81
2014-01,"Formaggi Fortini s.r.l.",110698.2,82
2014-01,"Forêts d'érables",108258.6,70
2014-01,"G'day, Mate",107933.4,77
2014-01,"Gai pâturage",103017.0,61
2014-01,"Grandma Kelly's Homestead",129000.0,80
2014-01,"Heli Süßwaren GmbH & Co. KG",107843.31,76
2014-01,"Karkki Oy",69511.5,76
2014-01,"Leka Trading",98632.95,75
2014-01,Lyngbysild,26221.0,61
2014-01,"Ma Maison",36433.85,66
2014-01,"Mayumi's",53835.25,75
2014-01,"New England Seafood Cannery",33708.55,64
2014-01,"New Orleans Cajun Delights",95597.95,85
2014-01,"Nord-Ost-Fisch Handelsgesellschaft mbH",33449.88,47
2014-01,"Norske Meierier",74440.5,70
2014-01,"PB Knäckebröd AB",40476.0,65
2014-01,"Pasta Buttini s.r.l.",67737.5,64
2014-01,"Pavlova, Ltd.",208951.25,90
2014-01,"Plutzer Lebensmittelgroßmärkte AG",262847.24,86
